iter	Passed	Remaining
0	1	132
1	2	127
2	3	116
3	4	102
4	5	98
5	5	93
6	6	90
7	7	89
8	8	90
9	9	88
10	10	88
11	11	86
12	12	84
13	13	83
14	14	82
15	15	81
16	16	80
17	17	78
18	18	76
19	18	75
20	19	73
21	20	72
22	21	71
23	22	70
24	22	68
25	23	67
26	24	66
27	25	64
28	25	63
29	26	62
30	27	61
31	28	60
32	29	59
33	30	59
34	31	59
35	32	58
36	33	57
37	34	56
38	35	55
39	36	54
40	37	53
41	37	52
42	38	51
43	39	50
44	40	49
45	41	48
46	42	48
47	43	47
48	44	46
49	45	45
50	46	44
51	47	43
52	47	42
53	48	41
54	49	40
55	50	39
56	50	38
57	51	37
58	52	36
59	53	35
60	54	34
61	54	33
62	55	32
63	56	31
64	57	30
65	58	30
66	59	29
67	60	28
68	61	27
69	62	26
70	63	25
71	63	24
72	64	23
73	65	23
74	66	22
75	67	21
76	68	20
77	69	19
78	70	18
79	71	17
80	72	16
81	73	16
82	74	15
83	74	14
84	75	13
85	76	12
86	77	11
87	78	10
88	78	9
89	79	8
90	80	7
91	81	7
92	81	6
93	82	5
94	83	4
95	84	3
96	85	2
97	86	1
98	87	0
99	88	0
