iter	Passed	Remaining
0	178	178010
1	180	89903
2	181	60467
3	184	45918
4	186	37160
5	188	31255
6	191	27225
7	194	24106
8	196	21667
9	199	19751
10	201	18122
11	203	16747
12	204	15562
13	206	14540
14	213	14019
15	215	13233
16	216	12523
17	218	11898
18	219	11358
19	221	10867
20	223	10430
21	226	10082
22	253	10786
23	257	10490
24	260	10164
25	262	9830
26	263	9513
27	265	9211
28	266	8934
29	268	8684
30	271	8489
31	273	8273
32	275	8059
33	276	7855
34	278	7670
35	279	7496
36	281	7322
37	282	7158
38	285	7045
39	289	6950
40	291	6823
41	293	6690
42	295	6565
43	297	6454
44	301	6404
45	303	6296
46	305	6192
47	307	6094
48	308	5988
49	310	5891
50	311	5793
51	313	5706
52	315	5633
53	317	5560
54	319	5484
55	320	5405
56	322	5331
57	323	5260
58	325	5198
59	329	5161
60	331	5102
61	333	5041
62	335	4984
63	337	4934
64	339	4882
65	340	4821
66	343	4786
67	345	4733
68	347	4683
69	348	4629
70	349	4574
71	350	4522
72	352	4471
73	353	4426
74	355	4383
75	357	4343
76	358	4299
77	359	4254
78	361	4211
79	362	4170
80	363	4128
81	365	4087
82	366	4047
83	367	4008
84	368	3971
85	370	3939
86	372	3911
87	374	3883
88	376	3851
89	377	3817
90	378	3784
91	380	3752
92	381	3723
93	383	3695
94	385	3670
95	386	3641
96	388	3612
97	389	3587
98	391	3558
99	392	3530
100	393	3505
101	395	3480
102	396	3454
103	397	3428
104	399	3403
105	401	3383
106	402	3362
107	404	3339
108	405	3316
109	406	3292
110	408	3267
111	409	3244
112	410	3222
113	411	3199
114	413	3180
115	415	3165
116	416	3144
117	417	3122
118	418	3100
119	420	3080
120	421	3061
121	422	3041
122	423	3022
123	424	3001
124	426	2983
125	427	2963
126	428	2945
127	430	2931
128	431	2915
129	433	2900
130	434	2884
131	436	2867
132	437	2851
133	438	2835
134	440	2822
135	443	2816
136	444	2802
137	446	2787
138	447	2773
139	449	2761
140	451	2748
141	452	2734
142	453	2716
143	454	2702
144	455	2688
145	457	2674
146	458	2662
147	460	2650
148	462	2639
149	463	2627
150	464	2614
151	465	2598
152	467	2586
153	468	2575
154	470	2564
155	472	2556
156	474	2545
157	475	2534
158	477	2524
159	478	2512
160	479	2498
161	480	2483
162	481	2472
163	482	2459
164	483	2448
165	484	2436
166	486	2428
167	488	2420
168	490	2410
169	491	2401
170	494	2397
171	495	2385
172	497	2378
173	498	2367
174	500	2360
175	502	2351
176	503	2342
177	505	2333
178	507	2327
179	508	2318
180	509	2307
181	511	2296
182	512	2287
183	513	2277
184	515	2270
185	517	2263
186	519	2256
187	520	2249
188	522	2240
189	523	2231
190	524	2223
191	526	2215
192	527	2204
193	530	2204
194	531	2194
195	532	2184
196	533	2174
197	534	2166
198	535	2156
199	536	2146
200	537	2138
201	539	2129
202	540	2120
203	541	2112
204	543	2107
205	544	2097
206	545	2091
207	547	2085
208	549	2079
209	550	2070
210	551	2062
211	552	2054
212	553	2045
213	554	2038
214	555	2029
215	558	2026
216	559	2020
217	560	2010
218	561	2003
219	562	1994
220	564	1988
221	565	1980
222	566	1972
223	567	1965
224	568	1956
225	568	1948
226	569	1939
227	571	1935
228	573	1929
229	574	1922
230	575	1916
231	576	1908
232	577	1901
233	578	1893
234	579	1888
235	580	1879
236	581	1872
237	583	1867
238	583	1859
239	586	1856
240	587	1850
241	588	1843
242	589	1835
243	590	1830
244	591	1823
245	592	1815
246	593	1808
247	593	1800
248	594	1792
249	595	1785
250	596	1779
251	597	1773
252	598	1767
253	600	1763
254	602	1759
255	603	1754
256	605	1749
257	605	1742
258	606	1735
259	607	1728
260	607	1721
261	609	1715
262	609	1708
263	610	1701
264	612	1697
265	614	1694
266	615	1689
267	616	1683
268	617	1677
269	618	1672
270	619	1666
271	620	1661
272	621	1655
273	622	1649
274	623	1644
275	624	1639
276	625	1633
277	627	1630
278	629	1626
279	630	1622
280	632	1617
281	633	1611
282	634	1606
283	634	1600
284	635	1595
285	636	1590
286	638	1585
287	639	1581
288	641	1577
289	642	1572
290	643	1567
291	644	1562
292	645	1556
293	646	1551
294	647	1547
295	648	1541
296	648	1536
297	650	1531
298	651	1527
299	652	1522
300	653	1517
301	655	1514
302	656	1510
303	657	1505
304	658	1500
305	660	1496
306	661	1493
307	662	1488
308	663	1484
309	664	1479
310	665	1475
311	667	1471
312	668	1466
313	670	1465
314	671	1461
315	672	1456
316	674	1452
317	675	1448
318	676	1444
319	678	1441
320	679	1436
321	680	1432
322	681	1428
323	682	1424
324	684	1421
325	685	1417
326	687	1414
327	689	1412
328	691	1410
329	693	1407
330	695	1404
331	699	1407
332	702	1406
333	704	1403
334	706	1401
335	708	1399
336	709	1396
337	711	1393
338	714	1393
339	717	1391
